Task2,correlated,1000000,4,4,31.5472916
Task3,correlated,1000000,4,4,4.2842071
Task1,correlated,1000000,4,4,1.7320367
Task2,correlated,1000000,3,4,19.5342786
Task3,correlated,1000000,3,4,4.1423856
Task1,correlated,1000000,3,4,1.714983
Task2,correlated,1000000,2,4,11.1320391
Task3,correlated,1000000,2,4,3.275649
Task1,correlated,1000000,2,4,1.5090163
Task2,uniform,1000000,4,4,370.1046684
Task3,uniform,1000000,4,4,52.3097409
Task1,uniform,1000000,4,4,1.9336988
Task2,uniform,1000000,3,4,75.7230026
Task3,uniform,1000000,3,4,10.5113781
Task1,uniform,1000000,3,4,1.8362238
Task2,uniform,1000000,2,4,18.0306238
Task3,uniform,1000000,2,4,4.2817731
Task1,uniform,1000000,2,4,1.3844249
Task2,normal,1000000,4,4,337.5392578
Task3,normal,1000000,4,4,43.0564095
Task1,normal,1000000,4,4,1.8829232
Task2,normal,1000000,3,4,76.8678988
Task3,normal,1000000,3,4,9.7396423
Task1,normal,1000000,3,4,1.606265
Task2,normal,1000000,2,4,16.0238654
Task3,normal,1000000,2,4,3.9432996
Task1,normal,1000000,2,4,1.3694578
